source,frame_id,t_frame,t_processed,obj_id,x,y,z,vr
radar,0,1762613279.1553493,1762613279.15535,0,2.839165210723877,3.330613374710083,0.40559500455856323,0.0
radar,0,1762613279.1553493,1762613279.15535,1,-0.15322476625442505,4.976583957672119,-0.15322476625442505,0.0
radar,0,1762613279.1553493,1762613279.15535,2,-3.0284423828125,6.313665390014648,0.6489520072937012,0.0
radar,0,1762613279.1553493,1762613279.15535,3,4.9752984046936035,4.970048427581787,0.0,0.0
radar,0,1762613279.1553493,1762613279.15535,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,1,1762613279.2543738,1762613279.2543745,0,2.9743635654449463,3.2104525566101074,0.40559500455856323,0.0
radar,1,1762613279.2543738,1762613279.2543745,1,-3.379958391189575,2.757131576538086,0.5407933592796326,0.0
radar,1,1762613279.2543738,1762613279.2543745,2,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,1,1762613279.2543738,1762613279.2543745,3,-3.0284423828125,6.313665390014648,0.6489520072937012,0.0
radar,1,1762613279.2543738,1762613279.2543745,4,4.9752984046936035,4.965338706970215,-0.2163173258304596,0.0
radar,1,1762613279.2543738,1762613279.2543745,5,-6.002805709838867,8.929070472717285,1.3339568376541138,0.0
radar,2,1762613279.3554296,1762613279.35543,0,2.9743635654449463,3.2104525566101074,0.40559500455856323,0.0
radar,2,1762613279.3554296,1762613279.35543,1,-3.379958391189575,2.757131576538086,0.5407933592796326,0.0
radar,2,1762613279.3554296,1762613279.35543,2,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,2,1762613279.3554296,1762613279.35543,3,-3.2447597980499268,6.205269813537598,0.6489520072937012,0.0
radar,2,1762613279.3554296,1762613279.35543,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,3,1762613279.4530268,1762613279.4530272,0,2.839165210723877,3.330613374710083,0.40559500455856323,0.0
radar,3,1762613279.4530268,1762613279.4530272,1,-3.379958391189575,2.757131576538086,0.5407933592796326,0.0
radar,3,1762613279.4530268,1762613279.4530272,2,-0.45967429876327515,4.960044860839844,0.0,0.0
radar,3,1762613279.4530268,1762613279.4530272,3,-3.2447597980499268,6.205269813537598,0.6489520072937012,0.0
radar,3,1762613279.4530268,1762613279.4530272,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,4,1762613279.5549433,1762613279.5549436,0,2.839165210723877,3.330613374710083,0.40559500455856323,0.0
radar,4,1762613279.5549433,1762613279.5549436,1,-3.244760036468506,2.915034532546997,0.5407933592796326,0.0
radar,4,1762613279.5549433,1762613279.5549436,2,-0.15322476625442505,4.978942394256592,0.0,0.0
radar,4,1762613279.5549433,1762613279.5549436,3,-3.4610772132873535,6.087264060974121,0.6489520072937012,0.0
radar,4,1762613279.5549433,1762613279.5549436,4,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,5,1762613279.6519415,1762613279.6519423,0,2.9743635654449463,3.2246546745300293,0.2703966796398163,0.0
radar,5,1762613279.6519415,1762613279.6519423,1,0.0,4.978942394256592,-0.15322476625442505,0.0
radar,5,1762613279.6519415,1762613279.6519423,2,-3.2447597980499268,6.205269813537598,0.6489520072937012,0.0
radar,5,1762613279.6519415,1762613279.6519423,3,-5.669316291809082,9.144442558288574,1.3339568376541138,0.0
radar,6,1762613279.7551045,1762613279.7551048,0,2.839165210723877,3.3443055152893066,0.2703966796398163,0.0
radar,6,1762613279.7551045,1762613279.7551048,1,-3.7855536937713623,2.166905164718628,0.5407933592796326,0.0
radar,6,1762613279.7551045,1762613279.7551048,2,-0.3064495325088501,4.971863746643066,0.0,0.0
